Images,modernDoor,oldDoor,flushDoor,panelledDoor,whiteDoor,brownDoor
6386.jpg,1.157283918473695e-06,2.1393373739186927e-09,2.148707947680073e-11,5.826532034625131e-10,0.9999988079071045,1.9078763457969217e-08
6434.jpg,6.08614669772578e-08,0.007399202324450016,1.027092039890265e-12,6.652644407578734e-11,4.0102081655390975e-09,0.9926007390022278
6436.jpg,0.08521461486816406,0.008015709929168224,6.962843634994442e-10,4.855394298425297e-12,0.9067696928977966,5.16721065935144e-08
6444.jpg,1.244164741365239e-05,3.33739080815576e-05,5.30908054064555e-13,3.508529231033286e-11,0.9999420642852783,1.2191699170216452e-05
6447.jpg,4.404547780723078e-06,0.010909239761531353,2.147019229070679e-09,1.377368913368926e-10,0.989086389541626,5.492319044009264e-09
6448.jpg,2.7053423764300533e-05,7.400632190401879e-11,2.2152725875912438e-07,3.937022707845017e-09,0.9999727010726929,1.3238312356056436e-12
6451.jpg,0.9999997615814209,1.47024550756214e-07,5.45566347653903e-09,2.7991161948039936e-16,1.4681078575051743e-10,1.2233854818077816e-07
6458.jpg,0.00040609255665913224,0.9995728135108948,4.9527400847182435e-08,2.741299158157129e-12,3.1324777841068574e-12,2.1101976017234847e-05
6462.jpg,7.651983651157934e-06,0.0014975358499214053,5.497833091561155e-11,0.00021978086442686617,0.998264491558075,1.060947215592023e-05
6475.jpg,0.04226154834032059,0.95773845911026,8.151289421221009e-09,2.2733614990499973e-09,3.0121584480152785e-12,6.106645493230778e-15
DestroyedDoor (113).png,6.517214387713466e-06,0.08615631610155106,1.0624460173858097e-06,0.7199923992156982,1.1819571454907418e-06,0.19384247064590454
DestroyedDoor (135).png,8.42974716451054e-18,0.9999934434890747,2.5638402249128082e-23,4.3484090708524614e-18,6.560427209478803e-06,7.35063973664879e-13
DestroyedDoor (164).png,4.3774751184999516e-11,8.016514385644768e-08,1.1740887715684735e-20,0.9999343156814575,4.734799791822342e-13,6.552214472321793e-05
DestroyedDoor (169).png,7.493844310387803e-19,0.9999810457229614,3.7773151056163785e-16,4.483878173540835e-15,1.12034981172935e-13,1.894017077574972e-05
DestroyedDoor (171).png,6.647819489505051e-19,1.0,3.698650084775615e-23,9.855640846349097e-15,4.90008475283318e-15,6.750452419268527e-10
DestroyedDoor (172).png,1.5397844018199462e-16,0.9997047781944275,3.303497977463226e-17,4.966038973271136e-13,4.766151709412192e-11,0.00029519060626626015
DestroyedDoor (2).png,1.38046896115139e-20,1.0,2.963667676600795e-19,1.7987505641108616e-17,6.820302243977505e-13,1.5220574316020122e-15
DestroyedDoor (200).png,1.8882694886868112e-12,0.9995737671852112,3.9883138458485234e-11,2.514587134030315e-15,0.0004217031819280237,4.49987237516325e-06
DestroyedDoor (21).png,6.6318448128932506e-12,0.999997615814209,3.461607736565675e-11,3.5272482155764516e-16,6.645396732896103e-11,2.3305092327063903e-06
DestroyedDoor (234).png,5.274970456096983e-13,0.9998137354850769,4.159749530507212e-13,3.754290034407859e-08,0.00018624583026394248,1.8012910607545507e-11
DestroyedDoor (269).png,7.51444346747121e-08,0.6330739855766296,7.58605210648966e-06,1.4831028238404542e-05,0.3657248616218567,0.0011785341193899512
DestroyedDoor (27).png,4.63618983817109e-16,0.9999959468841553,9.718181798569828e-14,7.118564071539879e-10,1.8125084579878603e-06,2.2201220417628065e-06
DestroyedDoor (29).png,9.241072317089927e-12,0.4645257890224457,2.094853002176933e-08,0.009653879329562187,0.5253496170043945,0.000470709492219612
DestroyedDoor (36).png,8.719003709127537e-13,0.9969789981842041,2.562300605828268e-16,1.1257247223284139e-07,0.0027943330351263285,0.00022651383187621832
DestroyedDoor (373).png,4.9943242430572354e-08,5.98634869675152e-07,4.721800381246588e-11,1.150893529783259e-11,0.9999992847442627,7.60567999691375e-08
DestroyedDoor (44).png,4.682799148447714e-10,0.9999786615371704,6.823881737449966e-12,2.0519195459201e-05,3.462304499091823e-13,8.938796440816077e-07
DestroyedDoor (49).png,2.9437035031776304e-09,0.9996522665023804,7.27864934990663e-10,2.5233883206965402e-05,3.981764109539654e-07,0.0003220564976800233
DestroyedDoor (7).png,3.293456544810336e-14,0.9999967813491821,2.693413811806884e-18,1.6704182592805657e-14,1.292582680889609e-07,3.101396714555449e-06
FlushDoor (100).png,0.9904272556304932,3.302357436041348e-05,7.344630459371615e-10,0.00013840578321833163,0.0008310336270369589,0.00857018306851387
FlushDoor (103).png,0.6110590100288391,8.76164863317791e-13,0.38052836060523987,3.3747223765479006e-13,5.437799472929328e-07,0.008412099443376064
FlushDoor (104).png,5.627109445072165e-09,8.581073984714749e-08,7.309231692120832e-11,3.169038564010407e-06,2.234540943391039e-07,0.999996542930603
FlushDoor (106).png,4.20708551329696e-10,8.863163871721761e-15,9.498025060677637e-14,1.158816376189975e-09,1.5294710146809616e-17,1.0
FlushDoor (107).png,0.2897350788116455,9.190849681317559e-08,1.5194725165201817e-05,8.867874385032337e-06,9.083525931430358e-09,0.7102407217025757
FlushDoor (108).png,3.359907350386493e-05,8.250789921857748e-20,1.603051857923532e-10,9.457149872105219e-07,0.0006232636515051126,0.999342143535614
FlushDoor (11).png,0.8960648775100708,6.60590941947703e-08,0.0025989755522459745,0.002847021445631981,4.883858206738978e-09,0.09848891198635101
FlushDoor (111).png,0.8917741179466248,1.786188350819031e-14,0.10822080075740814,2.1625337467412464e-06,1.0228222180330704e-07,2.847980795195326e-06
FlushDoor (112).png,0.0028864569030702114,5.838424463669705e-15,2.401482745995054e-08,0.8438783288002014,3.5815501178149134e-05,0.15319934487342834
FlushDoor (113).png,0.29572683572769165,1.0009254709786308e-11,0.13860860466957092,0.00015844739391468465,2.4748716853650876e-08,0.565506100654602
FlushDoor (115).png,0.00028616940835490823,2.8824359565859936e-10,0.9649919271469116,2.611590161905042e-06,0.034547898918390274,0.00017126588500104845
FlushDoor (116).png,2.8579621308422176e-12,4.416378721061598e-12,0.0009546433575451374,4.979630040426305e-15,1.1483376738397055e-06,0.9990442395210266
FlushDoor (118).png,3.297319750572569e-08,2.8347574954068477e-08,1.2938651886007513e-11,1.1065480975958053e-06,3.2472334283301096e-12,0.9999988079071045
FlushDoor (120).png,1.2965392315322788e-08,3.3879736056143016e-15,1.8534575474404846e-06,7.340017305068613e-08,4.3158063928183665e-11,0.9999980926513672
FlushDoor (122).png,0.0044856504537165165,3.64336870135179e-13,0.015248570591211319,3.740471040541982e-12,0.10672832280397415,0.8735374212265015
FlushDoor (125).png,3.7980791489644616e-07,5.095452690359148e-16,5.792300861173771e-09,2.6534007738394927e-13,2.5269610148402795e-14,0.9999996423721313
FlushDoor (127).png,0.003413792699575424,1.6312429806930595e-07,1.3890639820601791e-05,0.09642213582992554,1.8456586356897092e-13,0.9001500606536865
FlushDoor (128).png,3.02233742590155e-13,1.5448001603566718e-15,1.0,7.668404577998444e-09,5.049958153715425e-17,1.5335068284660913e-11
FlushDoor (129).png,9.420120477443561e-05,3.360621416204913e-17,0.7536449432373047,2.211569938056476e-18,0.24626079201698303,2.6170967615257723e-08
FlushDoor (13).png,0.0036241898778826,4.290059626987919e-12,0.8720759749412537,5.72493448203204e-08,5.890661292085042e-09,0.12429967522621155
FlushDoor (130).png,0.0003963994968216866,2.1546145162408109e-16,1.9407076251809485e-05,1.885301132873926e-13,9.148899415833966e-09,0.9995841383934021
FlushDoor (131).png,0.9953262805938721,4.58326141483667e-08,9.035053517436609e-05,0.004359980579465628,9.971463654778745e-09,0.00022338100825436413
FlushDoor (132).png,4.367902147350833e-05,4.918528695441182e-09,0.03676871582865715,0.00024122506147250533,1.0794321880780444e-08,0.962946355342865
FlushDoor (134).png,3.657507647858438e-07,9.999985195463523e-08,0.03512827306985855,3.211635757338627e-08,1.3357029615690408e-07,0.9648711085319519
FlushDoor (136).png,0.7529852986335754,1.9276187401828793e-07,0.0010592036414891481,1.0968502550667836e-07,4.9820588543525446e-08,0.24595515429973602
FlushDoor (139).png,3.0627774094682536e-08,3.1112196152704996e-10,9.530316674499772e-06,0.9990264177322388,2.7708574634743854e-06,0.0009612917783670127
FlushDoor (14).png,0.0139072360470891,4.74014427709335e-07,0.007415438070893288,1.210327354783658e-06,0.03813052922487259,0.9405450820922852
FlushDoor (141).png,0.9227079153060913,2.988134642067236e-13,0.057332657277584076,1.315389756922317e-16,0.019955024123191833,4.3976492634101305e-06
FlushDoor (143).png,1.9152929908727856e-08,1.6061954377142684e-15,0.0013390277745202184,2.3092955371653284e-17,7.105396826467825e-11,0.9986609220504761
FlushDoor (147).png,0.9340613484382629,1.3397502508435966e-12,0.06593861430883408,6.588534607143248e-16,6.335253849298894e-11,3.00149558540852e-08
FlushDoor (148).png,4.882791418144403e-21,5.546856699104662e-20,1.0,5.6635882148498984e-24,9.991204426298314e-21,2.6775055569843256e-16
FlushDoor (149).png,0.31289809942245483,3.218814138025803e-15,0.003753276774659753,1.0995559931309407e-12,0.6830986738204956,0.0002499619440641254
FlushDoor (15).png,4.904368324787356e-06,0.016487374901771545,0.28974148631095886,0.03360455483198166,0.49178507924079895,0.16837665438652039
FlushDoor (153).png,0.0494711771607399,7.28522383847134e-17,5.870425229659304e-05,6.687955078632513e-08,5.353497090077042e-10,0.9504700303077698
FlushDoor (158).png,0.009837735444307327,5.217113199784684e-11,0.0001453799632145092,3.965243389712769e-13,0.9861116409301758,0.0039053072687238455
FlushDoor (159).png,1.2275151728413647e-10,1.684560962944559e-10,0.0019398790318518877,7.245528649946209e-06,0.16388238966464996,0.8341705203056335
FlushDoor (16).png,4.091864980182436e-08,2.628556750039479e-08,3.2310097708432295e-08,2.2047481252229773e-05,2.1018879969858517e-09,0.9999778270721436
FlushDoor (160).png,2.6377216383322022e-11,4.540989687646811e-16,3.07063103832661e-08,7.472346526260498e-12,1.4516184297886957e-18,1.0
FlushDoor (161).png,2.072182780921139e-08,3.327388061261094e-12,1.5064536285080976e-09,4.6881407911314454e-07,6.282194816437103e-13,0.9999995231628418
FlushDoor (162).png,0.0002004970592679456,1.549804210299044e-06,0.08240614086389542,0.42647355794906616,9.516586578683928e-05,0.4908231198787689
FlushDoor (163).png,0.9984820485115051,1.4449841037863305e-15,0.0014533292269334197,3.2863065602128927e-09,6.157185271149501e-05,3.0771982437727274e-06
FlushDoor (168).png,0.0001132605248130858,1.1255109711783007e-05,0.012611156329512596,3.112201284238836e-06,1.2370040849418729e-06,0.9872599840164185
FlushDoor (169).png,6.593353464268148e-05,3.645456558842852e-08,0.006969024892896414,2.8088932594982907e-05,0.003714007092639804,0.9892228841781616
FlushDoor (17).png,0.14555992186069489,3.4773246504471444e-09,0.0002658719604369253,3.982463385909796e-05,1.0501926585304577e-11,0.8541344404220581
FlushDoor (170).png,6.166583261801861e-07,9.400233412851233e-13,1.862045378997479e-10,3.1188457849315454e-13,3.7559291787836457e-10,0.9999994039535522
FlushDoor (171).png,0.9293081164360046,3.006591091882422e-15,0.07059262692928314,2.785720059576141e-13,1.0583198672975414e-07,9.913417306961492e-05
FlushDoor (172).png,5.070893791675468e-13,1.2364343218978363e-13,6.521013062865677e-09,1.5701654386413022e-12,2.016433374441018e-11,1.0
FlushDoor (173).png,2.7150584003265976e-09,8.169436114258133e-07,0.00492630060762167,7.41096499723426e-08,4.3337404775911637e-08,0.9950727820396423
FlushDoor (18).png,2.1052057319614903e-10,6.117969314800575e-05,1.415656064596149e-10,4.4775192691304255e-06,5.180519099638736e-13,0.9999343156814575
FlushDoor (183).png,3.6337242104167444e-09,3.821602589937356e-08,1.1671602351270849e-08,0.008037536405026913,1.0896964340645354e-05,0.991951584815979
FlushDoor (186).png,2.7565840809984365e-06,1.070631349417775e-14,0.9964312314987183,5.320590447849315e-15,0.003561484394595027,4.498886482906528e-06
FlushDoor (190).png,0.0008281987975351512,2.513320064220781e-12,0.2692025303840637,4.924934182781726e-05,2.8409638161974726e-06,0.7299171686172485
FlushDoor (193).png,0.9189531803131104,2.938689988652476e-21,0.010225797072052956,4.004083453690299e-10,0.07082097977399826,2.727335637062525e-14
FlushDoor (194).png,3.7221654149420135e-20,4.3958326149151365e-20,1.0,1.0470700695375257e-11,2.6754262281652287e-21,4.722555896688463e-13
FlushDoor (195).png,7.878732388721943e-11,5.785643326097227e-17,1.5159235644546243e-08,0.00038338443846441805,2.655227891669356e-14,0.9996166229248047
FlushDoor (199).png,0.20027337968349457,2.3387098924132488e-09,3.136021632599295e-06,7.539752999718985e-08,5.590425392812263e-17,0.7997233867645264
FlushDoor (2).png,9.286315361123343e-08,1.1155905843204805e-12,1.5763806970880978e-07,1.3379021446269235e-08,7.732895812399831e-13,0.9999997615814209
FlushDoor (20).png,0.9657933712005615,3.519904723248146e-08,6.343238396766537e-07,0.0006480730953626335,5.664523686807303e-14,0.03355781361460686
FlushDoor (200).png,6.294557124419953e-07,2.295017338838079e-06,4.975590854883194e-06,0.5805253982543945,7.41023995942669e-07,0.4194659888744354
FlushDoor (201).png,2.3680826188865467e-07,0.0004865173832513392,0.8220731019973755,5.8805508160730824e-05,0.006416828837245703,0.17096447944641113
FlushDoor (205).png,4.459987579252811e-08,1.9919058069639561e-10,3.5228338674642146e-05,0.0013926655519753695,0.0003990784171037376,0.9981729984283447
FlushDoor (208).png,0.029405193403363228,5.719233420187209e-10,3.012864908669144e-06,1.01775384564462e-07,8.601641100780544e-12,0.9705917239189148
FlushDoor (209).png,2.779423630272504e-05,4.693248012443973e-10,0.8721978664398193,1.794195082218883e-13,0.11160725355148315,0.016167115420103073
FlushDoor (210).png,5.332552746040164e-07,9.081405874696025e-13,1.180105145548449e-11,8.167178748408332e-05,3.716803442441446e-15,0.99991774559021
FlushDoor (212).png,2.4188386760215508e-06,1.8211593765958458e-15,4.443798573561253e-08,1.8146444416555774e-11,0.9999974966049194,3.706366413780415e-08
FlushDoor (214).png,6.601130007766187e-05,1.88899812675683e-13,0.9939019680023193,0.0016939545748755336,7.714257321822515e-07,0.004337297286838293
FlushDoor (215).png,5.652408319178903e-09,3.2115386738862384e-11,0.00011571673530852422,4.051392534165643e-05,0.9998437166213989,3.764039391285223e-08
FlushDoor (221).png,0.9188820123672485,3.475341440998667e-18,0.07955200225114822,3.833039718958986e-10,1.0253329740805839e-08,0.0015659990021958947
FlushDoor (224).png,5.648287171311495e-09,1.6023447846347239e-10,6.355926984724647e-07,0.9999994039535522,1.846514460838956e-15,3.455879848957011e-08
FlushDoor (226).png,0.9911933541297913,2.6521732032769307e-10,0.007626278791576624,9.83132777037099e-05,4.523477592499603e-09,0.001082098693586886
FlushDoor (227).png,0.9509285092353821,7.616706709789867e-10,3.575087959006851e-08,7.659754714950395e-07,0.042207639664411545,0.0068631358444690704
FlushDoor (23).png,0.982100784778595,1.1298001645343447e-08,0.016640568152070045,1.3909979834636488e-09,1.6114045138237998e-06,0.001257058815099299
FlushDoor (230).png,0.7486090064048767,3.431854240091039e-17,0.16084417700767517,1.1422346358688773e-12,1.4029737940290943e-06,0.09054537117481232
FlushDoor (239).png,0.5340853333473206,6.050582305761054e-05,0.4656669497489929,0.00017553950601723045,3.6534732572590656e-08,1.1655013622657862e-05
FlushDoor (24).png,0.017025839537382126,1.0793178573109685e-09,0.9339584112167358,3.1320610105467495e-07,1.1344181819502967e-14,0.049015458673238754
FlushDoor (241).png,0.7025028467178345,1.9602203974594667e-12,6.777469388907775e-05,7.085191464284435e-05,1.5448420320751666e-10,0.29735860228538513
FlushDoor (242).png,0.22488124668598175,0.05535392090678215,0.05140378326177597,0.0006064469343982637,1.586393932884178e-10,0.6677546501159668
FlushDoor (246).png,4.327641534018767e-08,2.6175122357869012e-20,6.072214671186404e-13,1.8731913399962566e-15,5.3378542498637785e-15,1.0
FlushDoor (25).png,3.3347876069456106e-06,4.667154249876626e-12,2.6932040597671403e-08,4.465847450774163e-05,1.4489481663104709e-11,0.999951958656311
FlushDoor (251).png,2.603923476840464e-08,6.642948777862978e-12,0.00040434571565128863,1.9306412468722556e-07,9.125331046355711e-10,0.9995954632759094
FlushDoor (252).png,0.9990271329879761,3.8760521420044824e-05,0.000221099573536776,0.0007127387216314673,1.3660951536653698e-10,2.5862829033940216e-07
FlushDoor (253).png,2.2897213511896553e-06,1.0878837879558554e-17,0.023006878793239594,2.784534787314807e-16,0.9019742608070374,0.07501653581857681
FlushDoor (254).png,0.00030574933043681085,2.2922717107576318e-05,4.844353185262662e-08,0.6925303936004639,1.186862164104241e-06,0.30713972449302673
FlushDoor (255).png,9.408593289227454e-14,3.488869786046516e-20,1.0,1.0304967628815151e-22,5.76345765835208e-22,5.516961332219239e-10
FlushDoor (257).png,0.0018982469337061048,2.9395825773548268e-09,1.3292535641085124e-06,1.0459710875210249e-10,2.6891286974972672e-09,0.9981004595756531
FlushDoor (259).png,3.37531713689998e-09,8.764139452143924e-14,1.6856367892614799e-06,0.9999983310699463,1.1280923704936122e-14,3.727480102355685e-09
FlushDoor (260).png,2.4725960168225924e-10,0.9997180104255676,9.149558906373571e-18,4.688506669481285e-05,1.1474016664166997e-17,0.00023519163369201124
FlushDoor (261).png,1.7262169649256975e-06,2.5337926743730643e-14,0.005189146846532822,9.071230230731434e-14,0.9948090314865112,6.226260040875786e-08
FlushDoor (264).png,0.4719328284263611,2.6101481569860713e-18,0.5280076861381531,8.768204793341283e-07,1.645687888185421e-07,5.839419463882223e-05
FlushDoor (265).png,0.996303915977478,3.9336977694098157e-16,1.5021972554762897e-10,4.402301440054046e-11,5.905724833610293e-07,0.003695433959364891
FlushDoor (266).png,4.7139958603281684e-09,1.1805014329621406e-14,4.598867064942169e-07,1.1661710009117088e-12,0.9999995231628418,1.0312452281002749e-11
FlushDoor (267).png,0.999150276184082,7.280468410216998e-16,6.15401802406268e-07,2.1850828091363184e-10,5.481687708197569e-07,0.0008485199068672955
FlushDoor (268).png,0.44991934299468994,1.898448154236121e-08,4.3434550889287493e-07,0.0005240434547886252,2.7131372235672524e-12,0.5495561957359314
FlushDoor (269).png,1.7501817595015623e-13,7.905635105921223e-17,4.3220163092883013e-07,1.3008144908455144e-11,0.9999995231628418,3.222545147396616e-11
FlushDoor (271).png,8.816111403575633e-06,3.113014810122647e-14,4.116672698728507e-06,1.6377545364321122e-07,0.0015253240708261728,0.9984616041183472
FlushDoor (273).png,0.0032785276416689157,5.8763169060816e-15,0.7411261200904846,2.1394176615604663e-18,0.2555953562259674,4.001463693725782e-08
FlushDoor (275).png,1.0963723298118566e-06,1.292372042716039e-10,1.0701722841233163e-10,0.9997324347496033,5.192926167199574e-13,0.00026648645871318877
FlushDoor (276).png,0.1393056958913803,1.3727895264992185e-08,2.949189226164606e-10,0.8537155389785767,2.742781960482065e-14,0.006978722754865885
FlushDoor (278).png,3.6505520730923394e-33,3.172967777818648e-29,1.0,3.540863917193353e-36,1.4522491132777886e-34,3.47586447492828e-35
FlushDoor (279).png,9.379474974480217e-09,1.6369922084535915e-10,0.9998465776443481,6.040768579795852e-12,0.0001533938047941774,4.774560087572599e-12
FlushDoor (282).png,0.0006663944805040956,5.2783013515522725e-09,0.004537887405604124,4.949569287759914e-08,0.9947955012321472,7.710151805895293e-08
FlushDoor (284).png,4.703346689893806e-08,1.9357277030827028e-16,4.6573390477533394e-07,5.177661424604629e-11,0.9999995231628418,1.732336496473863e-10
FlushDoor (285).png,0.049134138971567154,2.0513145670975064e-07,0.18153879046440125,0.011891482397913933,0.7550797462463379,0.0023556556552648544
FlushDoor (286).png,2.082321692853384e-08,1.0572459574476056e-11,2.4721982754272176e-06,0.9999974966049194,3.926866088701207e-14,3.6267010727897286e-08
FlushDoor (288).png,0.00016805432096589357,9.329838013272251e-10,0.0013862167252227664,5.850891398040403e-07,5.237667437540949e-07,0.9984446167945862
